Station,Price
Arsenalna,7800000.0
Beresteiska,2890000.0
Druzhby Narodiv,8350000.0
Holosiivska,8060000.0
Khreshchatyk,3760000.0
Khreshchatyk/Maidan,9885000.0
Klovska,3675000.0
Kontraktova Ploshcha,6100000.0
Lukianivska,5800000.0
Lva Tolstoho,8302000.0
Lybidska,4700000.0
Maidan Nezalezhnosti,12100000.0
Olimpiiska,5500000.0
Osokorky,4770000.0
"Palats ""Sportyvnyi""",3580000.0
Palats Sportu,6786000.0
Palats Ukraina,8600000.0
Pecherska,7730000.0
Shuliavska,13980000.0
Sviatoshyn,1876000.0
Teatralna,5994000.0
Teatralna/Zoloti Vorota,13150000.0
Universytet,12100000.0
Vokzalna,14200000.0
Zoloti Vorota,6090000.0
